layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
38,0,self_attn.k_proj,2048,512,128,0,40.95991516113281,128,128,False,False,False,torch.float32,torch.float32,11.760798512823447,1.5236096542968378,0.015236096542968378,0.007233224566557125,0.0078125,0.3925850002700096,4.684592887721237,512,0.7853710651397705,0.007815772667527199,nan
38,0,self_attn.v_proj,2048,512,128,0,40.95991516113281,128,128,False,False,False,torch.float32,torch.float32,11.760798512823447,1.5236096542968378,0.015236096542968378,0.007233224566557125,0.0078125,0.3925850002700096,4.684592887721237,512,0.7861913442611694,0.007954660803079605,nan
38,0,self_attn.q_proj,2048,4096,128,0,40.95991516113281,128,128,False,False,False,torch.float32,torch.float32,11.760798512823447,1.5236096542968378,0.015236096542968378,0.007233224566557125,0.0078125,0.3925850002700096,4.684592887721237,4096,0.7828637361526489,0.007874625734984875,nan
38,1,self_attn.o_proj,4096,2048,128,0,0.501326858997345,128,128,False,False,False,torch.float32,torch.float32,10.627695778670336,1.531196925205326,0.015311969252053262,0.008810789223171267,0.0078125,0.061904356443011684,51.86752781821421,2048,0.7260156273841858,0.008350636810064316,nan
39,0,self_attn.k_proj,2048,512,128,0,40.95993423461914,128,128,False,False,False,torch.float32,torch.float32,11.207099775255898,1.5150170743389337,0.015150170743389337,0.00772551666503747,0.0078125,0.4031754423714579,4.8339831717083195,512,0.7827929258346558,0.008071300573647022,nan
39,0,self_attn.v_proj,2048,512,128,0,40.95993423461914,128,128,False,False,False,torch.float32,torch.float32,11.207099775255898,1.5150170743389337,0.015150170743389337,0.00772551666503747,0.0078125,0.4031754423714579,4.8339831717083195,512,0.7808593511581421,0.007667429745197296,nan
39,0,self_attn.q_proj,2048,4096,128,0,40.95993423461914,128,128,False,False,False,torch.float32,torch.float32,11.207099775255898,1.5150170743389337,0.015150170743389337,0.00772551666503747,0.0078125,0.4031754423714579,4.8339831717083195,4096,0.782961368560791,0.0077750710770487785,nan
39,1,self_attn.o_proj,4096,2048,128,0,0.270147442817688,128,128,False,False,False,torch.float32,torch.float32,7.254926085264455,1.4444668585074762,0.014444668585074764,0.007871572370569829,0.0078125,0.02687297640146444,166.40459448963747,2048,0.7294531464576721,0.007849998772144318,nan
40,0,self_attn.k_proj,2048,512,128,0,40.95994186401367,128,128,False,False,False,torch.float32,torch.float32,9.956914009860908,1.4499927228954648,0.014499927228954648,0.007744972967170373,0.0078125,0.37926776547185215,5.799754419526252,512,0.783203125,0.007975662127137184,nan
40,0,self_attn.v_proj,2048,512,128,0,40.95994186401367,128,128,False,False,False,torch.float32,torch.float32,9.956914009860908,1.4499927228954648,0.014499927228954648,0.007744972967170373,0.0078125,0.37926776547185215,5.799754419526252,512,0.7810156345367432,0.007761162705719471,nan
