layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
0,0,self_attn.k_proj,2048,512,128,0,40.76319122314453,128,128,False,False,False,torch.float32,torch.float32,2.450677391501801,1.0897713684157486,0.010897713684157487,0.007704284693162753,0.0078125,0.06520814052965501,39.678365259389665,512,0.7904101610183716,0.008128412067890167,nan
0,0,self_attn.v_proj,2048,512,128,0,40.76319122314453,128,128,False,False,False,torch.float32,torch.float32,2.450677391501801,1.0897713684157486,0.010897713684157487,0.007704284693162753,0.0078125,0.06520814052965501,39.678365259389665,512,0.7869726419448853,0.008044932968914509,nan
0,0,self_attn.q_proj,2048,4096,128,0,40.76319122314453,128,128,False,False,False,torch.float32,torch.float32,2.450677391501801,1.0897713684157486,0.010897713684157487,0.007704284693162753,0.0078125,0.06520814052965501,39.678365259389665,4096,0.7928735017776489,0.007773543242365122,nan
0,1,self_attn.o_proj,4096,2048,128,0,0.0007838436868041754,128,128,False,False,False,torch.float32,torch.float32,25.104651501815088,2.0381317198872,0.020381317198871998,0.008299770766979209,0.0078125,0.09323857343498053,6.593829737719816,2048,0.7002832293510437,0.008101275190711021,nan
1,0,self_attn.k_proj,2048,512,128,0,40.930538177490234,128,128,False,False,False,torch.float32,torch.float32,11.859576787993758,1.5881840723557539,0.015881840723557538,0.007162355726006372,0.0078125,0.442153302663758,3.2406173251058146,512,0.7870117425918579,0.008125132881104946,nan
1,0,self_attn.v_proj,2048,512,128,0,40.930538177490234,128,128,False,False,False,torch.float32,torch.float32,11.859576787993758,1.5881840723557539,0.015881840723557538,0.007162355726006372,0.0078125,0.442153302663758,3.2406173251058146,512,0.7855663895606995,0.007618945091962814,nan
1,0,self_attn.q_proj,2048,4096,128,0,40.930538177490234,128,128,False,False,False,torch.float32,torch.float32,11.859576787993758,1.5881840723557539,0.015881840723557538,0.007162355726006372,0.0078125,0.442153302663758,3.2406173251058146,4096,0.7856225371360779,0.007972434163093567,nan
1,1,self_attn.o_proj,4096,2048,128,0,0.001971936086192727,128,128,False,False,False,torch.float32,torch.float32,12.981298167877137,1.5898652545892575,0.015898652545892577,0.006656149622180599,0.0078125,0.05385056182296983,41.778178722300844,2048,0.7347803115844727,0.007643052376806736,nan
2,0,self_attn.k_proj,2048,512,128,0,40.94606399536133,128,128,False,False,False,torch.float32,torch.float32,10.28440926315281,1.5826210055977472,0.015826210055977473,0.0066046204856772565,0.0078125,0.42459199256262464,3.748515157506608,512,0.7857421636581421,0.007975257933139801,nan
2,0,self_attn.v_proj,2048,512,128,0,40.94606399536133,128,128,False,False,False,torch.float32,torch.float32,10.28440926315281,1.5826210055977472,0.015826210055977473,0.0066046204856772565,0.0078125,0.42459199256262464,3.748515157506608,512,0.7838085889816284,0.00779016874730587,nan
2,0,self_attn.q_proj,2048,4096,128,0,40.94606399536133,128,128,False,False,False,torch.float32,torch.float32,10.28440926315281,1.5826210055977472,0.015826210055977473,0.0066046204856772565,0.0078125,0.42459199256262464,3.748515157506608,4096,0.7840527296066284,0.00784965232014656,nan
2,1,self_attn.o_proj,4096,2048,128,0,0.00231667491607368,128,128,False,False,False,torch.float32,torch.float32,7.659870420771213,1.2481789060430164,0.012481789060430166,0.007247384344940632,0.0078125,0.03098134588139584,25.492339337264323,2048,0.735791027545929,0.007895550690591335,nan
3,0,self_attn.k_proj,2048,512,128,0,40.95284652709961,128,128,False,False,False,torch.float32,torch.float32,10.254322586030101,1.5982784356538624,0.01598278435653862,0.006564725746614446,0.0078125,0.42685739787330457,3.8983984647901537,512,0.7864843606948853,0.007367340847849846,nan
3,0,self_attn.v_proj,2048,512,128,0,40.95284652709961,128,128,False,False,False,torch.float32,torch.float32,10.254322586030101,1.5982784356538624,0.01598278435653862,0.006564725746614446,0.0078125,0.42685739787330457,3.8983984647901537,512,0.7848436832427979,0.007780496962368488,nan
3,0,self_attn.q_proj,2048,4096,128,0,40.95284652709961,128,128,False,False,False,torch.float32,torch.float32,10.254322586030101,1.5982784356538624,0.01598278435653862,0.006564725746614446,0.0078125,0.42685739787330457,3.8983984647901537,4096,0.7849414348602295,0.007602340076118708,nan
3,1,self_attn.o_proj,4096,2048,128,0,0.008469044230878353,128,128,False,False,False,torch.float32,torch.float32,19.464045701991793,1.5815970718738668,0.015815970718738668,0.0068185313759923675,0.0078125,0.03354019708561615,86.90318115418437,2048,0.7303857803344727,0.007757974788546562,nan
